titre,date_poste,date_fin,description,contrat,ville,pays,entreprise,langue
chargé de recouvrement,2023-02-14 01:00:03,2023-04-07 09:06:35,". prise de contact avec les débiteurs pour obtenir le paiement intégral de la dette. recueil les arguments des débiteurs sur les causes de l’impayé. établissement avec le débiteur, le diagnostic précis de sa situation financière (actif et passif).. suivi des encaissements selon l’échéancier convenu.",Intérim,casablanca,maroc,tectra casa tertiaire ,fr
chargé de facturation,2023-02-14 01:00:03,2023-04-07 09:07:03,missions :. . facturation des opérations de douane. suivi des sorties et établissement des documents de douane. préparation des remises et documents de banque. reporting et suivi des règlements clients. analyse des comptes et enregistrement des opérations de facturation.,Intérim,casablanca,maroc,tectra casa tertiaire ,fr
ingénieur biomédical,2023-02-14 01:00:03,2023-04-07 10:37:03,"en tant qu’ingénieur, votre principale mission est de :. . s'occuper de l'entretien, de la maintenance préventive et curative ainsi que l'installation des équipements médicaux ;. assurer la réception, la vérification et la mise en service des équipements médicaux ;. assurer la formation et le conseil à l’utilisation des produits et des équipements médicaux..",CDI,casablanca,maroc,profils recrutement,fr
assistante administrative,2023-02-14 01:00:03,2023-04-07 12:10:17,"g4s recrute pour son propre compte une assistante administrative expérimentés.. missions : . . gestion rh (pointage, paie, congés...). actualiser des données de suivi d'activité de la structure (tableaux de bord, tableaux de résultats). préparer le dossier administratif des appels d'offres. organiser des déplacements de membres de l'équipe ou du responsable,. trier, distribuer, affranchir, enregistrer le courrier et s'occuper de la gestion des messages électroniques..",CDI,casablanca,maroc,g4s,fr
assistante polyvalente,2023-02-14 01:00:03,2023-04-07 13:05:35,"nous recrutons pour notre client une assistante polyvalente expérimentée. . ses missions : . - accueil physique et téléphonique de la clientèle, identifier les demandes et orienter. - assister à l'organisation des éventements ( réception, lunch hebdomadaire, évent corpo...) - réceptionner et traiter les appels téléphoniques courants ( gestion du standard) : émettre, recevoir et transférer les appels, prendre des messages, informer et orienter vers le bon interlocuteur, - assister à la gestion des commandes fournisseurs pour le matériel du bureau ( devis, commande). - assister à la gestion des achats et stocks de fournitures bureau. - assister à la gestion technique des locaux et équipements. - gérer le planning et l'organisation des salles de réunions. - éditer les présentations (impressions, reliures). - assister à la gestion du planning des coursiers.. - assister à la gestion de la caisse.. - assister à la gestion des frais de déplacement de ceo &amp; coo.",CDI,casablanca,maroc,armonia facilities,fr
chargé d'accueil et de vente pour 1 mois,2023-02-14 01:00:03,2023-04-07 13:06:37,nous recrutons pour l'un de nos clients des chargé(e)s d'accueil et de vente pour 1 mois à casa ain harrouda.. le transport est assuré.,Intérim,casablanca,maroc,adecco,fr
commerciaux formation en chimie organique,2023-02-14 01:00:03,2023-04-07 14:34:06,nous recherchons des commerciaux formation en chimie organique (h/f) à casablanca . principale mission :. . chargé de développer les ventes auprès des clients dans le respect de la politique établie par la direction commerciale et marketing de l’entreprise.. gérer un portefeuille existant et chercher de nouveaux clients.. développer les cartes existantes et chercher de nouvelles cartes.. collaborer à la conception et à la réalisation d'actions commerciales.. coopérer à la performance collective..,CDI,casablanca,maroc,n.c.,fr
commerciaux back-office,2023-02-14 01:00:03,2023-04-07 14:43:42,nous recherchons des commerciaux back-office formation scientifique (h/f) à casablanca.. principale mission :. . chargé de développer les ventes auprès des clients dans le respect de la politique établie par la direction commerciale et marketing de l’entreprise.. traiter les ao. épauler l’équipe terrain dans l’élaboration des offres. développer les cartes existantes et chercher de nouvelles cartes.. collaborer à la conception et à la réalisation d'actions commerciales.. coopérer à la performance collective. .,CDI,casablanca,maroc,professional labo,fr
chargé de recouvrement,2023-02-14 01:00:03,2023-04-07 14:44:07,principale mission :. . procéder au recouvrement et à la résolution des litiges moyennant un objectif mensuel à atteindre.. . les responsabilités sont les suivantes :. . compétences dans le recouvrement des dettes. connaissance des phases du processus de recouvrement des crédits. connaissance de la législation en la matière. compétences administratives et en gestion. connaissance des systèmes informatiques. excellentes capacités en relations et négociation. orientation sur les résultats. mobilité nationale. faire preuve de professionnalisme.. . type de contrat :. . cdi..,CDI,casablanca,maroc,n.c.,fr
responsable magasin,2023-02-14 01:00:03,2023-04-07 14:44:39,"principale mission :. - veiller à un bon déroulement de toutes les tâches liées au magasin, par exemple : . . réception quantitative et qualitative de la marchandise (physique et sur système). vérification de toute marchandise entrante et sortante.. livraison à temps. coordination avec le service adv.. .",CDI,casablanca,maroc,n.c.,fr
assistante de département supply chain,2023-02-14 01:00:03,2023-04-07 16:07:28,missions principales:. . traitement des appels – mailing – saisie sur excel. création et envoi des demandes de prix sur un erp. relance téléphonique des fournisseurs. préparation des tableaux comparatifs et analyse des meilleures offres de prix . traitement des bons de commandes clients/ relance des fournisseurs pour confirmation des livraisons/ préparation des étiquettes de transport. gestion et suivi des non conformité. saisie des factures fournisseurs. traitement des demandes d’informations produits / questionnaires / attestations via du mailing et des appels.. contact des clients pour prise de rendez-vous..,Intérim,casablanca,maroc,tectra casa tertiaire ,fr
électricien de maintenance,2023-02-14 01:00:03,2023-04-07 16:23:26,"pour le compte de notre client basé à rabat, nous sommes à la recherche des électriciens expérimentés en maintenance industrielle.",Intérim,rabat,maroc,adecco,fr
technicien frigoriste,2023-02-14 01:00:03,2023-04-07 16:23:43,"pour le compte de notre client, nous recrutons un technicien frigoriste sur la ville de rabat.",Intérim,rabat,maroc,adecco,fr
vendeur livreur,2023-02-14 01:00:03,2023-04-07 16:44:59,missions :. . vente aux clients du secteur selon le programme pré-établi ;. encaissement des règlements des ventes ;. remonté de l’information relative au secteur au chef hiérarchique ;. entretien du véhicule mis à sa disposition ;. approvisionnement de quelques agences de la quantité demandée de la levure ;. amélioration des ventes de produits ;. recherche de nouveaux clients ;.,Intérim,casablanca,maroc,tectra casa tertiaire ,fr
commercial agroalimentaire circuit traditionnel,2023-02-14 01:00:03,2023-04-07 16:45:33,"tectra groupe recrute pour son client, leader dans son domaine d'activité, un/e commercial en agroalimentaire circuit traditionnel sur la ville de fès.. les missions principales sont :. - la prospection terrain. - la réalisation des objectifs. - l'encadrement des vendeurs. - la préparation des comptes rendus.",CDI,fes,maroc,groupe tectra,fr
technicien,2023-02-14 01:00:03,2023-04-07 17:19:14,"pour le compte de notre client, nous recrutons un technicien dans le domaine de la maintenance des équipements de sonorisation et équipements des salles de conférence sur la ville de rabat.",Intérim,rabat,maroc,adecco,fr
stagiaire assistante administrative,2023-02-14 01:00:03,2023-04-07 17:21:16,nous cherchons une stagiaire assistante administrative à rabat.,Stage,rabat,maroc,maroc force emploi,fr
technicien impression,2023-02-14 01:00:03,2023-04-07 17:21:32,"missions :. . lancement de la production sur base des paramètres prédéfinis. contrôle de la qualité des articles. régler et superviser tous les paramètres des machines d'impression. alimenter les machines d'impression en encres, clichés et toiles nécessaires. s'occuper de la maintenance préventive .",CDI,tanger,maroc,compagnie industrielle des fibres,fr
chargée ressources humaines rh,2023-02-14 01:00:03,2023-04-07 18:03:57,"missions : . missions : - communication : - appui du hr dans l’organisation des événements rh (les communications à envoyer ….). - suivi back office de l’organisation des événements rh. - participer aux missions des ressources humaines :•élaboration des documents de synthèse : tableaux de suivi sur le volet moyen généraux et bureau d’ordre. - établir les da ponctuelles moyens généraux - moyens généraux : - appui du chargé des moyens généraux : relation de suivi et de relance avec fournisseurs/prestataires (restauration, parc auto, réparation…). - santé : - gestion des mutuelles, prise en charge et dossiers santé en cas de back up de l'infirmière.",CDD,casablanca,maroc,armonia facilities,fr
community manager/ chef de projets web-média,2023-02-13 01:00:03,2023-04-06 12:13:09,"nous recherchons un community manager / chef de projets web-média (h/f). les réseaux sociaux n’ont plus de secret pour toi ?tu es capable de gérer de façon autonome un nouveau projet web-média / community management ?tu as le sens de la formule et sais adapter ton style rédactionnel ? tu parles parfaitement français et anglais, et tu es à la recherche d’un nouveau challenge ?dynamique, créatif(ve) et flexible, tu n’aimes pas la routine et tu as beaucoup d’idées ?. tes missions : . . tu géreras de manière autonome un nouveau projet web-média et t´assurera de son développement.. rechercher et déployer des partenariats avec des influenceurs locaux et des créateurs de contenus.. mobiliser l'ensemble de nos managers pays autour de la mise en œuvre et la pérennisation du projet.. . afin de mieux te connaître, raconte nous ton histoire ! acceptons uniquement cv décalé et si tu as d’autres idées surprenantes.. nous sommes preneurs.",CDI,rabat,maroc,emploi.ma,fr
technico commercial,2023-02-11 01:00:04,2023-04-04 10:01:13,"nous recrutons pour notre client, société spécialisée dans le domaine de la découpe laser, les services fournis comprenant la découpe de différents supports (métallique, bois, mdf, plexiglas), dans le cadre de son développement des technico commerciaux expérimentés.. missions :. . la prospection commerciale afin d'élargir le portefeuille client de l'entreprise ;. réalisation des devis ;. contrôle de la qualité avant la livraison tout en respectant les délais ;. chargé de recouvrement..",CDI,casablanca,maroc,profils recrutement,fr
auxiliaire de vie,2023-02-11 01:00:04,2023-04-04 10:05:38,"nous recrutons des auxiliaires de vie qualifiés et dévoués pour aider les personnes âgées ou en situation de handicap à maintenir leur indépendance et à améliorer leur qualité de vie.. tâches :. . les tâches incluent l'aide à la toilette, à l'habillement, à la préparation des repas, à l'entretien de la maison et à la prise de médicaments.. . . nous accordons un salaire motivant, des formations adaptées et une évolution professionnelle.",CDI,casablanca,maroc,dama,fr
comptable fournisseurs en contrat d'intérim,2023-02-11 01:00:04,2023-04-04 10:37:57,"nous recrutons pour le compte de l'un de nos clients un comptable fournisseurs en contrat d'intérim à casablanca sidi maarouf.. missions :. . récupérer quotidiennement du bureau d'ordre les factures achats déposées par les fournisseurs ;. contrôler la conformité des factures (présence des mentions obligatoires) s'assurer de l'attachement des bons de commandes, de livraison et des tout autres documents exigés par les procédures internes et accuser réception au bureau d'ordre par un dateur si les factures sont bonnes, sinon les retourner au bureau d'ordre ;. vérifier si les factures reçues sont enregistrées, scannées par le bureau d'ordre ;. contrôler le statut des bons de commandes des factures déposées et les trier par statuts (validée non réceptionnée, validée réceptionnée, en approbation, sans bc). suivre les factures sans demande d'achat et faire les relances nécessaires pour assurer leur comptabilisation dans les bons délais ;. contrôler la conformité de la commande à la réception et à la facture fournisseur reçue ;. établir les factures d'achats internes sur navision conformément aux bons de commandes et aux réceptions effectuées par les demandeurs ;. envoyer les notifications de demande d'approbation aux approbateurs pour ensuite valider les factures d'achats et vérifier les écritures comptables générées ;. analyser l'état des réceptions non facturées et prendre les actions nécessaires (apurement fnp, comptabilisation, demande de factures) ;. remonter toute incohérence entre le bon de commande, le bon de livraison et la facture aux parties prenantes (fournisseurs, achats, demandeurs, it) ;. suivre et répondre aux réclamations de paiement des fournisseurs locaux ;. suivre et comptabiliser les provisions mensuelles ;. contrôler et comptabiliser les notes de frais conformément aux procédures en vigueurs..",Intérim,casablanca,maroc,adecco,fr
assistante de direction anglophone,2023-02-11 01:00:04,2023-04-04 11:35:42,"nous recrutons pour notre client basé à casablanca une assistante de direction anglophone.. missions :. . rédaction de courriers, appels d’offres, contrat et documents administratifs. suivi de projets (statuts et gestion des délais avec les chefs de projets). rédaction des comptes rendus de réunions et gestion des plannings. recherches de fournisseurs, prestataires. suivi avec les parties prenantes (cabinets comptables, transit) des dossiers en cours . archivages et gestions administratives. préparations des réunions, entretiens et visites. capacité à résoudre des problèmes et de garantir le respect des délais..",Intérim,casablanca,maroc,tectra casa tertiaire ,fr
comptable senior,2023-02-11 01:00:04,2023-04-04 14:13:04,"l’humain est au cœur de notre métier !. tectra est aujourd’hui leader du conseil en ressources humaines au maroc. avec plus de 1000 clients actifs multisectoriels et une force de réseaux de 27 agences partout dans le royaume, tectra vous accompagne dans votre recherche d’emploi. tectra recherche un comptable senior à casablanca.. missions responsabilités principales :. . assurer la tenue de la comptabilité de l’entreprise. prises en charge des documents comptables. maitrise de la comptabilité générale. déclaration fiscale et sociale. gestion de la trésorerie. arrêter des comptes. états de rapprochements.. . compétences requises :. . organisation. maitrise de la comptabilité générale. maitrise des outils bureautiques (excel, word et powerpoint). maitrise de l’outil de comptabilité sage. connaissances des règles liées aux législations sociales et fiscales. bonne maitrise du français (parlé et écrit)..",Intérim,casablanca,maroc,tectra agence sidi maarouf,fr
stagiaire pfe sourcing it,2023-02-11 01:00:04,2023-04-04 15:14:34,"dans le cadre du renforcement de nos activités du département rh, nous sommes à la recherche d'un/une stagiaire pfe sourcing it qui sera directement rattaché(e) à la responsable ressources humaines.. missions :. . assistanat du service rh dans les missions quotidiennes de sessions de recrutement . sourcing sur les cvthèques et réseaux sociaux professionnels..",Stage,casablanca,maroc,vision business consulting,fr
head of sales ni,2023-02-11 01:00:04,2023-04-04 15:07:40,"job title : head of sales ni reporting line : country managerkey responsibilities :. . act as team lead for sales /account manager within bu (ni) . lead and recruit sales team members.. hunt for new customers and projects in assigned vertical sector. be able to penetrate new or existing accounts from scratch on your own via various means. . conduct company, ict product and solution presentations to new prospects and existing customers to generate sales leads and opportunities. . build good relationship with new and existing customers, service clients for quotation requests, manage project delivery, ensure timely customer payments, and any other sales related matters. . development of customer strategic account plan. . visit customers on daily basis to build relationships across all departments and levels of customer accounts.. attentive listener to customer’s pain points, needs, strategic directions and objectives.. detailed note-taking during customer meetings and issuing of email meeting of minutes after every customer meeting (via either laptop or paper notebook). . develop good relationship with all vendors, partners and suppliers and gaining their support in winning deals together.. meeting assigned order intake, revenue and margin targets..",CDI,casablanca,maroc,nera telecommunications,en
technicien en maintenance informatique,2023-02-11 01:00:04,2023-04-04 15:27:32,"dans le cadre du renforcement de notre équipe, nous sommes à la recherche d'un technicien en maintenance informatique, un technicien spécialisé dans l'installation des machines, en particulier :. . les guichets automatiques bancaires,. les terminaux points de ventes. les solutions de traitement de chèques et d'autres bornes. . vous êtes doué pour la maintenance préventive et curative des machines et systèmes informatiques.. vous pouvez assurer la mise en service et le réglage des nouvelles installations, préparer et gérer les plannings d'intervention de maintenance préventive.. vous avez une aisance dans le traitement, l'analyse et la mise en place des solutions correctives et les actions à définir sur les installations,. vous avez la possibilité de trouver les causes des pannes et appliquer les règles de sécurité des installations.",CDI,"casablanca, rabat, meknès, kénitra, marrakech",maroc,ncrm,fr
vendeur,2023-02-11 01:00:04,2023-04-04 16:08:56,"pour l'un de nos clients, nous cherchons un vendeur sur sidi kacem.. les attributions du poste : . . vente aux clients du secteur selon le programme pré-établi ;. encaissement des règlements des ventes ;. remonté de l’information relative au secteur au chef hiérarchique ;. entretien du véhicule mis à sa disposition ;. approvisionnement de quelques agences de la quantité demandée ;. amélioration des ventes de produits ;. recherche de nouveaux clients ;.",Intérim,sidi kacem,maroc,tectra meknes,fr
contrôleur qualité en domaine de construction métallique,2023-02-11 01:00:04,2023-04-04 16:57:32,"tectra recrute pour son client sur mohammedia un contrôleur qualité en domaine de construction métallique. vous aurez pour missions :. . contrôler la qualité des matières premières reçues par rapport aux spécifications initialement définies. contrôler le produit sur toute la chaine de fabrication, et cela, par rapport à la gamme de contrôle. contrôle les produits livrés. bloque toute non-conformité et n’autorise son utilisation qu’après levée de l’écart. contrôle le produit à l’étape finale, et cela, avant livraison chez le client (produit à l’usine et produit monté sur chantier). n’autorise la libération du produit (matière, en cours de fabrication, produit fini) que toutes les spécifications sont conformes.",Intérim,mohammedia,maroc,tectra mohammedia ,fr
chargé back office - nearshore,2023-02-11 01:00:04,2023-04-04 17:35:18,missions :. . traitement des demandes de validation et des bc ;. mise à jour des dossiers et de la base de données crm ;.,Intérim,casablanca,maroc,tectra casa tertiaire ,fr
femme de ménage,2023-02-11 01:00:04,2023-04-04 17:41:29,"une grande structure de renom opérant dans le secteur de la restauration collective, recherche des femmes de ménage.",Intérim,casablanca,maroc,artus,fr
assistante scolarité,2023-02-11 01:00:04,2023-04-04 17:42:00,"missions :. . accueil physique, électronique et téléphonique des publics (étudiants, enseignants, public extérieur) ;. gestion de la vie scolaire de l’ensemble des élèves (inscriptions administratives, gestion des absences, examens, préparation des diplômes, etc.). préparation et délivrance de tous les documents administratifs liés à la scolarité des élèves (certificat de scolarité, attestation de réussite, relevés de notes/ compétences…). actualisation et classement de toutes les informations relatives aux élèves (administratives, décisions de jurys, conseil de discipline, difficultés remontées…). aide à la gestion des demandes du ministère (dossiers des élèves, …)..",Intérim,casablanca,maroc,tectra casa tertiaire ,fr
hôte / hôtesse,2023-02-10 16:08:43,2023-04-11 16:08:43,"nature de contrat : intérim longue durée. postes à pouvoir : hôte et hôtesse ainsi que superviseur d’équipe. salaire net : 4500 dh et 6000 dh pour les sup. lieu de travail : épicerie et saka avec possibilité de déplacement avec remboursement des frais. durée de travail :8h/jour. repos : 1 jour par semaine selon planning ( ça peut être lundi /mardi/mercredi/ jeudi …). produit à commercialiser : cigarette et cigarette électronique.. travailler pour l’industrie du tabac. etre dans les points de vente (saka, superette …). travailler 8 h par jour. avoir un jour de repos par semaine selon le planning.",Intérim,agadir,maroc,tectra,fr
directrice de magasin,2023-02-10 01:00:04,2023-03-06 11:41:33,nous recherchons une directrice de magasin pour offrir une excellente expérience client ensemble avec l'équipe. missions :. . garder une trace des stocks de produits en magasin. veiller à ce que le magasin apparaisse conformément aux réglementations visuelles. assurer la réalisation des objectifs du magasin déterminés en concentrant le magasin sur les ventes en équipe..,CDI,rabat,maroc,tuğba,fr
chargé de compte,2023-02-10 01:00:04,2023-04-03 11:05:25,"jobplus recrute pour le compte de son client, un chargé de compte h/f qui aura pour mission : . - assurer le suivi de comptes client b2b - tenir des reportings et des tableaux de bord - traitement des emails de demandes client et réclamations, - traitement des appels clients - synthèse et remontée des informations à la hiérarchie..",Intérim,casablanca,maroc,job plus,fr
technico-commercial avec expérience - pièces de rechange,2023-02-10 01:00:04,2023-04-03 12:30:22,tectra recrute pour son client sur mohammedia un technico-commercial avec expériencevous aurez pour missions : - faire les offres de prix des machines et pièces de rechanges - mettre en place un plan d'action de suivi technico-commercial - commercialisation des machines et pièces de rechanges de la société.. * contrat : cdd de 6 mois après cdi* rémunération : intéressante négociable selon le profil,CDD,mohammedia,maroc,tectra mohammedia ,fr
ingénieur qhse,2023-02-10 01:00:04,2023-04-03 12:31:08,"missions : - former le personnel au respect des consignes de sécurité et environnementales ; - mettre en place les actions correctives et préventives dans le cadre des accidents de travail ; - réaliser ou faire réaliser les audits internes hse ; - être l’interlocuteur privilégié des instances liées à son domaine de compétences ; (carsat, médecine du travail, etc.) ; - participer à l’amélioration continue et réaliser la veille réglementaire, en rendre compte à la direction ;contribuer à définir et piloter la politique hse de l’entreprise; - mettre en place une organisation assurant la conformité de l’entreprise aux exigences réglementaires relatives à la sécurité : duerp, contrôle des équipements, exercices d’évacuation, plans de prévention, etc..",CDI,bénin,maroc,tectra,fr
opérateurs production et fabrication industrie pharmaceutique,2023-02-10 01:00:04,2023-04-03 12:31:31,"notre client, un laboratoire pharmaceutique basé à had soualem, recrute dans le cadre de son développement des opérateurs production (fabrication) : compression, centrale de pesée, mélange et blistérage.",CDI,had soualem,maroc,dekra services,fr
assistante de direction,2023-02-10 01:00:04,2023-04-03 12:31:47,"missions: . . accueil physique et téléphonique.. planifier et gérer tous les rendez-vous du président.. gestion de courrier.. organisation du planning.. rédaction des supports ( rapport, compte rendu...). traitement des informations collectées.. transmission des informations en interne et en externe.. préparation et organisation des réunions.. organisation des déplacements.. réservation des billets d'avion, hôtel.... gestion des différentes tâches administratives.. planification et gestion des rendez-vous du président, assurer la frappe de ses courriers : organiser l'agenda en décelant et respectant les niveaux de priorité.. planifier, organiser et gérer tous les déplacements du directeur et le cas échéant des membres de la direction..",CDI,rabat,maroc,armonia facilities,fr
standardiste,2023-02-10 01:00:04,2023-04-03 15:26:53,nous recrutons pour le compte de notre client une standardiste . missions principales :. . donner au client les renseignements nécessaires concernant un produit ou un service. peut apporter une réponse claire et précise aux questions posées..,Intérim,casablanca,maroc,tectra casa tertiaire ,fr
chargé de recouvrement - secteur bancaire,2023-02-10 01:00:04,2023-04-03 17:00:50,"nous recrutons pour notre client basé à casablanca des chargés de recouvrement - secteur bancaire, agents de recouvrement.. missions :. . intervenir à la gestion des créances clients..",Intérim,casablanca,maroc,tectra casa tertiaire ,fr
responsable commercial,2023-02-10 01:00:04,2023-04-03 17:07:23,"nous recrutons pour le compte d’un de nos clients spécialisés dans les métiers du recouvrement de créances commerciales et civiles, un responsable commercial sur la ville de casablanca.. missions :. . réaliser les objectifs commerciaux. développer et fidéliser son portefeuille clients. cibler et prospecter les clients potentiels. organiser son action commerciale pour l’atteinte des objectifs. promouvoir les différentes gammes. détecter les opportunités de croissance. assurer un suivi commercial auprès de la clientèle pour la fidéliser. effectuer des rapports journaliers de son activité commerciale..",CDI,casablanca,maroc,dama,fr
contrôleur de gestion - bricoma,2023-02-10 01:00:04,2023-04-03 17:38:59,"dans la perspective de renforcement du département de contrôle de gestion, bricoma recrute deux contrôleurs de gestion.. . missions :. rattachés à la direction financière, vous aurez pour principales missions :. . analyser les indicateurs de performance et de rentabilité des magasins bricoma dans l’objectif d’identifier les écarts et de proposer des actions préventives et correctives ;. mettre en place les outils de pilotage et de reporting auprès des magasins bricoma.;. accompagner et assister les responsables magasins au suivi et à l’analyse de performance de leur activité ;. participer dans la mise en place, la formalisation et l’amélioration des processus de pilotage et de gestion de la rentabilité ;. participer au développement et à une meilleure exploitation du système d’information financier ;. prendre en charge le volet fiabilisation et conformité des informations ;. réaliser les reportings financiers et commerciaux selon les formats requis et dans les délais impartis.. . .",CDI,casablanca,maroc,bricoma,fr
animateur hse et qualité,2023-02-10 01:00:04,2023-04-03 17:08:41,"nous cherchons pour la région de safi, el jadida et khouribga, un animateur hse et qualité un responsable hse qui a la capacité d'assurer les missions suivantes :. . propose une politique de sécurité selon les normes et la réglementation hygiène, sécurité et environnement.. élaborer la politique hse . réalise des audits hse . formalise les processus et procédures nécessaires au fonctionnement en matière de sécurité et environnement . établit des programmes de prévention pour réduire incidents, accident du travail et maladie professionnelle . assure la mise en place de la sécurité des salariés, des installations industrielles et des produits . sensibilise les équipes à la démarche et au respect des procédures hse . réalise des audits sur la base de référentiels internes et externes . analyse de risques..",CDI,safi,maroc,eni,fr
responsable administratif et financier,2023-02-10 01:00:04,2023-04-03 17:09:58,"nous cherchons pour l'un de nos clients, un responsable administratif et financier disponible immédiatement.. un cadre qui a la capacité de gérer les missions et les attributions suivantes :. . pilote et participe aux missions, à la planification , à la gestion et la coordination des taches administratives, financières et comptable.. il coordonne et supervise la comptabilité, la trésorerie, la gestion des fonds et propose une politique financière à court et moyens terme en cadre le service financier, comptable. participe au comité de direction, il met en place des budgets, valide les décisions prises par dg, rend possible les projets et l'équilibre budgétaire, mettre en place une stratégie financière adaptée , et informe la dg de la santé financière de l'entreprise.. il est responsable de la production des comptes sociaux, supervise le contrôle de gestion, la trésorerie, la comptabilité, et mène du reporting à la dg . prépare les budgets et leurs suivis, analyses les écarts, préconiser des solutions . veiller au respect des procédures d'exécution des dépenses . informe et conseille la direction en matière des contraintes fiscales et comptable . gérer les contrats divers et conventions pour garantir leur respect dans le cadre législatif, et réglementaire . négocier et gérer les achats de l'entreprise . gérer la trésorerie et les relations avec les banques..",CDI,casablanca,maroc,eni,fr
commercial terrain,2023-02-10 01:00:04,2023-03-07 12:59:40,"importante structure de commercialisation des produits pédagogiques, recrute un commercial terrain ( délégué(e) pédagogique ) pour la ville de rabat et régions. mission :. . développer et fidéliser le portefeuille clients. promouvoir les produits et outils pédagogiques. participer à l’organisation des manifestations pédagogiques.. .",CDI,rabat,maroc,calliope,fr
chargé back office,2023-02-09 01:00:03,2023-04-02 17:26:51,missions :. . traitement des demandes de validation et des bc ;. mise à jour des dossiers et de la base de données crm ;.,Intérim,casablanca,maroc,tectra casa tertiaire ,fr
chargé de clientèle / assurance,2023-02-09 01:00:03,2023-04-02 09:30:34,"nous recrutons pour notre client, entreprise leader dans son secteur d'activité un(e) chargé de clientèle / assurance avec une expérience obligatoire en assurance..",Intérim,casablanca,maroc,tectra casa tertiaire ,fr
technico-commercial en appareillages electriques,2023-02-09 01:00:03,2023-04-02 09:31:01,"tectra groupe recrute pour son client, grande multinationale spécialisée dans la commercialisation des appareillages électriques, un/e technico-commercial en appareillages électriques à marrakech.. les missions principales sont :. - la prospection terrain. - l'atteinte des objectifs. - la fidélisation du portefeuille client.",CDI,marrakech,maroc,groupe tectra,fr
maître d’hôtel,2023-02-09 01:00:03,2023-04-02 10:25:10,"nous recrutons pour l'un de nos clients opérant dans le secteur hôtelier, un maître d’hôtel sur la ville de marrakech.. missions :. . animation du briefing d'avant service et passation des consignes.. contrôle des activités du personnel de salle pendant le service.. prise des réservations et préparation du plan de salle.. régulation des flux avec la cuisine.. transmettre les commandes du client au chef de rang et veiller à son exécution.. au cours du repas, s'assurer que le client est satisfait.. une fois le service terminé, il s’assure de la préparation de la salle pour le service suivant.. connaître parfaitement le mécanisme du service en salle, détecter le détail à corriger et être capable de remplacer ou d'assister au pied levé le sommelier ou le chef de rang s'il y a lieu.. s'assurer que tout se passe bien et que le client est satisfait..",CDI,marrakech,maroc,dama,fr
contrôleur f&b,2023-02-09 01:00:03,2023-04-02 10:26:28,"nous recrutons pour l'un de nos clients opérant dans le secteur hôtelier, un contrôleur f&amp;b sur la ville de marrakech.. missions :. . réaliser l’inventaire mensuel et analyser les écarts par points de ventes.. contrôler les prélèvements de l'économat vers les points de ventes.. cordonner avec le restaurant manager et le chef cuisinier pour la réalisation de la fiche technique food et beverage.. calculer et analyser les ratios de gestion et de fonctionnement (food cost, beverage cost, prime cost, recette moyenne de chaque point de vente, ...).. veiller au maintien et à l’application des procédures du contrôle.. apprécier la rotation des stocks et déceler les stocks morts.. calculer et analyser les ratios f&amp;b.. s’assurer que tous les mouvements de marchandise sont enregistrés quotidiennement dans le système de gestion.. faire le suivi des retours marchandise par fournisseur pour apprécier le niveau de qualité de service offert par ces derniers.. produire un rapport mensuel de la nourriture et de contrôle de boisson.. mise à jour des prix et des articles si nécessaire..",CDI,marrakech,maroc,dama,fr
réceptionniste,2023-02-09 01:00:03,2023-04-02 10:26:44,"nous recrutons pour l'un de nos clients opérant dans le secteur hôtelier, une réceptionniste sur la ville de marrakech.. missions :. . assurer l'accueil des clients à l'hôtel tout au long du séjour.. gérer les réservations et les comptes clients.. planifier les réservations et l'occupation des chambres.. présenter les prestations de l’hôtel et promotion des produits boutique.. assurer le développement de l’établissement..",CDI,marrakech,maroc,dama,fr
guest relation,2023-02-09 01:00:03,2023-04-02 10:27:23,"nous recrutons pour l'un de nos clients opérant dans le secteur hôtelier, un(e) guest relation sur la ville de marrakech.. missions :. . préparer les arrivées vip (registration card, clés, mise en place des accueils dans la chambre…).. prendre connaissance des arrivées futures et faire les attributions en collaboration avec le responsable des réservations.. optimiser le profil de chaque client et s’assurer que toutes les informations sont bien enregistrées sur le logiciel de réception.. effectuer tous les accompagnements vip selon les procédures internes.. coordonner toutes les arrivées particulières avec les différents services de l’hôtel.. réaliser le check-in &amp; check-out des clients vip, en collaboration avec le service réception.. gérer les différentes plaintes clients et les reporter à son chef de service.. respecter les budgets accueils vip définis par la direction générale.. communiquer efficacement avec son supérieur hiérarchique sur le déroulement de la journée..",CDI,marrakech,maroc,dama,fr
magasinier,2023-02-09 01:00:03,2023-04-02 10:28:18,nous recrutons pour le compte de notre client basé à ain sebaa un magasinier..,Intérim,casablanca,maroc,tectra casa tertiaire ,fr
standardiste,2023-02-09 01:00:03,2023-04-02 10:35:35,nous recrutons pour le compte de notre client un standardiste . missions principales :. . donner au client les renseignements nécessaires concernant un produit ou un service. peut apporter une réponse claire et précise aux questions posées..,Intérim,casablanca,maroc,tectra casa tertiaire ,fr
